Title,"Include?
[1/0]",Year,Citation Reference,"Assigned to
[Dan, Ezz, Maddi, Sanyam, Shae, Vas]",Citations 2025,Citations Per Year Sept 2025,Venue,"URL
(optional)","DOI
(optional)","Input
[source_code, binary_code, binary_executable]","Input granularity [line, snippet, function, slice/gadget, commit, repo/project, executable]","Classification Granularity
[line, snippet, function, slice/gadget, commit, repo/project, executable]","Granularity justification (optional, if any)","Input (graph) representation
[intermediate_code, AST, CFG, DFG, CPG, PDG]","Input Vectorization
[NA, hash, manual_features, pretrained_token_embedding, pretrained_sentence_embedding, learnable_token_embedding, node_embedding, ..]","Tools Used
(as part of solution e.g., preprocessing)
[joern, word2vec, GPT-4, ...]","Task
[binary, binary-CWE, multi-class, exploit]","Task justification (optional, if any)",Mention explainability or interpretability,"Explainability
[0/1]","Vulnerability Types Targeted
[general / specific(e.g., CWE-XXX, XSS, SQLI, memory)]","Vulnerability Types in Datasets
[NA, general, CWE-XXX, XSS, SQLI, memory)]","Test Dataset Type
[create_own_from_scratch, subset_existing (e.g., NVD, SARD), benchmark]","Test Dataset
[NA, Juliet (SATE IV), NVD, SARD, Devign (aka. FFMpeg+ Qemu), Reveal (aka. Chromium+Debian), Big-Vul (aka. Fan et. al.), CodeXGLUE, Draper (Russel et. al.), CVEFixes, D2A, DiverseVul, ...]","Dataset justification (optional, if any)","Dataset Practicality
[Synthetic, real-world, both]","Programming Language
[NA, C/C++, Java, Python, PHP, JavaScript, any (binary, or assembly)]",Mention duplicate in dataset, Mention dataset quality, Mention dataset noise,Mention dataset split, Mention dataset balance,"Programming language justification 
(optional, if any)","ML?
[0/1]","LLM?
[0/1]","Basic Approach
[static, dynamic, both]","Approach
[fuzzing, manual_features, symbolic_execution, taint_analysis, signature, code_similarity, ML_preNN, MLP, CNN, RNN (including GRU, LSTM, BRNN, BGRU, BLSTM), Transformer, GNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Specific Approach
[GCN, GAT, RGCN, GGNN, LSTM, BLSTM, BGRU, GRU, BRNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Approach justification (optional, if any)",Discuss metrics,"Evaluation Metrics
[F1, Acc, ROCAUC,  PRAUC, Precision, Recall, TopN-Acc]","Metrics justification (optional, if any)",Discuss ablation,Discuss overfitting,"Best Results
(should be readable as python dict)
{""dataset"":{""metric"":value, ""metric"":value}}","repo
(code or data)
[url]","Open-sourced Code
[NA, 0, 1]","Open-sourced Dataset
[NA, 0, 1]",Summary,,,,
HAN-BSVD: A hierarchical attention network for binary software vulnerability detection,1,2021,yan2021han_bsvd,Ezz,44,9.421841542,Computers & Security,https://dl.acm.org/doi/abs/10.1016/j.cose.2021.102286,10.1016/j.cose.2021.102286,binary_code,executable,snippet,,,pretrained_token_embedding,word2vec,binary,,0,0,specific,"CWE-121, CWE-119, CWE-399",benchmark,"juliet, vuldeepecker_compiled",,both,"any, assembly (C/C++ -> Assembly -> binary)",0,1,1,0,0,,1,0,static,CNN,,,1,"Acc, Precision, Recall, F1",,1,0,"{""juliet"":{""acc"":97.7, ""recall"":96.4, ""precision"":97.9, ""f1"":97.2},""vuldeepecker_compiled"":{""acc"":75.6, ""recall"":78.4, ""precision"":72.6, ""f1"":75.4}}",,0,0,"The paper proposes HAN-BSVD, a vulnerability detector in binary software. The authors utilize data from the juliet test suite (only CWE-121) and ICLR19 (compiled vuldeepecker) datasets, and preprocess them by unifying jump addresses and normalizing instructions into a unified format. Next, an instuction mebedding is learned BGRU and word attention. The main component of HANBSVD is TextCNN and spatial attention module which capture local features and highlight important regions, respectively.",,,,
Harnessing the power of LLMs in source code vulnerability detection,1,2024,tamberg2025harnessing,Shae,13,7.784431138,arxiv -> Resilient AI/ML for Securing the Cyber and Tactical Edge Domains (RAISED) 2024,,,source_code,function,function,No they discuss converting programs into compiled LLVM-IR then discuss labeling at the program level and line level. However it is unclear which they end up using.,"intermediate_code (LLVM-IR), iSeVC (IR-based Syntax Vulnerability Candidates)",learnable_token_embedding,Clang Compiler,binary,,0,0,general,general,benchmark,"used the dataset form ""Vuldeelocator""",None really.,both,C/C++,0,0,0,1,0,There approach should in theory be agnostic however they don't evaluate that.,1,1,static,PretrainedLLM,PretrainedLLM,,1,Acc,"none really, just we use accuracy.",0,0,"{""vuldeelocator"":{""acc"":98.25}}",,0,1,"The paper compiles code into low level virtual machine intermediate representations to make the approach language agnostic. Then they employ a custom embedder/tokenizer based on LLVM instructions, then this is fed into Bert/DistillBert and the final classification is performed by a classification head. The granularity seems unclear as there was discussion of both program level labels and LLVM Line level labels. Note this is a short paper (5 pages body).",,,,
Inputs of Coma: Static Detection of Denial-of-Service Vulnerabilities,0,2009,chang2009inputs_coma,Ezz,87,5.218956209,IEEE Computer Security Foundations Symposium,https://ieeexplore.ieee.org/document/5230618,10.1109/CSF.2009.13,source_code,,repo/project,,CFG,manual_features,CIL,binary,,,0,specific,DoS,create_own_from_scratch,null,,real-world,C/C++,,,,,,,0,0,static,taint_analysis,,,,,,,,"{""null"":{}}",,0,0,"The paper presents SAFER a static analysis tool specifically designed to detect DoS vulnerabilities in source code. It is built on top of the CIL static analysis framework, and incorporates several heuristics to detect loops and recursive calls which are affected by untrusted network inputs, using taint and control dependency information, i.e., CFG. SAFER also tries to estimate the complexity of those loops and tainted recursive calls. Safer was applied to 5 projects, FTP and HTTP servers, and XML parsers. It discovered both known and unknown vulnerabilities in these software.",,,,
IRIS: LLM-assisted static analysis for detecting security vulnerabilities,1,2024,li2025iris,Shae,15,8.982035928,arxiv - ICLR 2025,,,source_code,project,code path,None for classification granularity but likely a consequence of taint analysis. For input granularity the justification is so that it can infer specifications for taint analysis. i.e. more context is better.,DFG,pretrained_token_embedding,LLMs to infer the specifications to enable taint analysis.,binary-CWE,Because this allows analysis to be focused on a specific type of CWE and takes a CWE specification as input.,1,1,"general but focussing on specific(CWE-22, CWE-78, CWE-79, CWE-94)","It seems that it only contains CWE-22, CWE-78, CWE-79, CWE-94 or atlease these are what is discussed in the paper.",create_own_from_scratch,"CWE-Bench-Java (120 vulnerabilities, one per project).","They needed a dataset that contained: 1) vulnerability meta data (e.g. CWE ID, CVE ID, fix commit, and vulnerable project version), 2) the dataset must be compilable, 3) projects must be real world 4) each vulnerability and its location must be validated.",real-world,Java,0,0,0,1,0,"Because it is commonly used to develop server-side, Android, and web applications which are prone to security risks.",1,1,static,PretrainedLLM,PretrainedLLM,,1,"FPR (called FDR), F1, Recall (called Detection Rate)",,1,1,"{""cwe-bench-java"":{""recall"": 45.83, ""fpr"": 84.82, ""f1"":0.177}}",github.com/iris-sast/iris,1,1,The paper uses LLMs to determine specifications for taint analysis based on the context of the whole project to improve performance. Thereby combining LLMs with static analysis to improve the efficacy of the base static analysis approach.,,,,
IvySyn: Automated Vulnerability discovery in Deep Learning frameworks,0,2022,christou2023ivysyn,Ezz,23,6.267029973,USENIX Security Symposium,,,binary_executable,,executable,,,NA,,exploit,,,0,specific,memory,create_own_from_scratch,"pytorh, tensorflow",,real-world,any,,,,,,,0,0,dynamic,fuzzing,,,,num_crashes,,,,"{""null"":{}}",,1,NA,"The paper proposes IvySyn, a fuzzing approach aimed at finding offending inputs to low-level APIs in native deep learning frameworks kernels (e.g., Pytorch and Tensorflow). IvySyn leverages mutation based fuzzing augmented with type-aware mutation. Then given the offending inputs, IvySyn can synthesize code snippets that trigger the errors from high-level APIs. These snippets act as PoV. IvySyn incorporates ASan to support memory inspection and security analysis.",,,,
KameleonFuzz: evolutionary fuzzing for black-box XSS detection,0,2014,duchene2014kameleonfuzz,Dan,161,13.79605827,ACM conference on Data and application security and privacy,https://doi.org/10.1145/2557547.2557550,10.1145/2557547.2557550,binary_executable,,executable,,,manual_features,"LigRE: Reverse-Engineering of
Control and Data Flow Models for Black-Box XSS
Detection",exploit,,,0,XSS,,create_own_from_scratch,,,both,"any (python, PHP, Java)",,,,,,,1,0,dynamic,"fuzzing, ML_preNN, genetic, taint_analysis",,,,num_detected,,,,{},,0,1,"KameleonFuzz is a fuzzer for detecting XSS attacks in PHP applications. It uses black-box techniques to observe how changes in input affect the generated HTML, then uses genetic algorithms to produce fuzzing inputs. The fitness function is computed using string distance between observed HTML output and  signs of XSS in output.",,,,
Large Language Model for Vulnerability Detection: Emerging Results and Future Directions,1,2024,zhou2024_llm,Ezz,116,69.46107784,IEEE/ACM International Conference on Software Engineering,https://dl.acm.org/doi/10.1145/3639476.3639762,10.1145/3639476.3639762,source_code,function,function,,,pretrained_token_embedding,,binary,,0,0,general,general,subset_existing,Pan_et_al,,real-world,C/C++,0,0,0,1,0," in this preliminary evaluation, we only focus on software repositories implemented in C/C++.
",1,1,static,PretrainedLLM,PretrainedLLM,,1,"Acc, Precision, Recall, F1","To measure the model’s effectiveness, we adopted widely used evaluation metrics, i.e., Accuracy, Precision, Recall, F1, and F0.5. We incorporated the F0.5 metric, which assigns greater importance to precision than to recall. This choice is motivated by the developers’ aversion to false positives, as a low success rate may diminish their patience and confidence in the system 
",0,0,"{""pan_et_al"": {""Acc"": 75.5, ""Precision"": 73.7, ""Recall"": 79.3, ""F1"": 76.4}}",https://github.com/soarsmu/ChatGPT-VulDetection,1,NA,"They use off-the-shelf LLMs and experiment with different prompting techniques: (1) role description, (2) project description, (3) CWE examples, (4) ICL with random code samples, and (5) ICL with similar code samples. The similarity was computed using the cosine similarity of codeBERT embeddings of different functions.  Their results show that GPT3.5 is on par with DL baselines, but GPT4 is better.",,,,
Learning Program Semantics for Vulnerability Detection via Vulnerability-Specific Inter-procedural Slicing,1,2023,wu2023learning,Dan,14,5.243445693,ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering,https://doi.org/10.1145/3611643.361635,10.1145/3611643.361635,source_code,gadget/slice,slice/gadget,function misses information,"CFG, PDG, CFG",node_embedding,joern,multi-class," different vulnerability types have different causes, leading to
different sources and sinks",0,0,memory,memory,benchmark,"D2A, Juliet",,both,C/C++,0,0,0,0,0,none,1,0,static,GNN,GGNN,,1,"acc, F1",widely-used,1,0,"{""Juliet"": {
""accuracy"":80.6,
""F1"": 80.7,
""precision"": 80.1,
""recall"": 81.6,
},
""D2A"": {
""accuracy"":93.4,
""F1"": 93.6,
""precision"": 91.0,
""recall"": 96.4,
}}
",,0,1,Uses slicing and GGNNs with attention to learn semantics of vulnerabilities across functions.,,,,
LEOPARD: Identifying Vulnerable Code for Vulnerability Assessment through Program Metrics,0,2020,leopard_2019,Ezz,153,26.98412698,IEEE/ACM International Conference on Software Engineering,https://dl.acm.org/doi/10.1109/icse.2019.00024,10.48550/arXiv.1901.11479,source_code,,function,,,NA,,binary,,,0,general,general,subset_existing,"NVD, CVEdetails",,real-world,C/C++,,,,,,,0,0,static,manual_features,,,,other,,,,"{""null"":{""null"":0}}",,0,0,,,,,
LineVD: Statement-level Vulnerability Detection using Graph Neural Networks,1,2022,linevd_2022,Ezz,259,70.57220708,International Conference on Mining Software Repositories,https://dl.acm.org/doi/10.1145/3524842.3527949,10.48550/arXiv.2203.05181,source_code,function,line,"a key limitation of these methods is that they do not indicate the specific lines of code contributing to vulnerabilities. This limits the ability of developers to efficiently inspect and interpret the predictions from a learnt model, which is crucial for integrating machine-learning based tools into the software development work-flow.",PDG,pretrained_token_embedding,,binary,,1,1,general,91 types,benchmark,big-vul,,real-world,C/C++,0,0,0,0,0,,1,0,static,GNN,GAT,"Graph-based models have shown promising performance in function-level vulnerability detection, but their capability for statement-level vulnerability detection has not been extensively explored",1,"F1, Precision, Recall, ROCAUC, PRAUC, MAP","We report F1 score, precision, recall, area under the receiver operating characteristic curve (ROCAUC), and area under the precision-recall curve (PRAUC). While ROCAUC is widely used to directly measure the predictive power of the model without choosing a specific threshold, it cannot fully reflect the effectiveness when dealing with imbalanced datasets. Hence, in addition to reporting ROCAUC for comparison with past literature, we have also used PR-AUC, which is better suited for imbalanced problems.
",0,0,"{""big-vul"":{""F1"":36, ""Recall"": 53.3, ""Precision"": 27.1, ""ROCAUC"": 91.3, ""PRAUC"": 64.2, ""MAP@5"": 76}}",https://github.com/davidhin/linevd,1,1,"LineVD is a line-level GNN-based C/C++ vulnerability detector. AVD is formulated as a node classification task on the PDG of the source code.  First, the input function and statements are tokenized and embeddied using CodeBERT embeddings. Those embeddings serve as the intial node embedding in a graph attention network (GAN). The output of the GAN, and the function CodeBERT embeddings are then fed to an MLP classifier, which outputs the final verdict on the statements and function. They shows that they outperform IVDetect in terms of lin-level vulnerability detection.",,,,
LineVul: a transformer-based line-level vulnerability prediction,1,2022,linevul_2022,Ezz,377,102.7247956,International Conference on Mining Software Repositories,https://dl.acm.org/doi/10.1145/3524842.3528452,10.1145/3524842.3528452,source_code,function,line,"previous ML/DL-based approaches still focus on coarse-grained vulnerability prediction where models only point out vulnerabilities at the file level or the function level—which is still coarse-grained
",,learnable_token_embedding,,binary,,1,1,general,"CWE 787, 20, 22, 190, 119, 200, 77",benchmark,big-vul,"we wanted line level granularity → quite good evidence for how the datasets are limiting the research maybe??
",real-world,C/C++,0,0,0,1,0,,1,1,static,finetuneLLM,FinetuneLLM,,1,"F1, Precision, Recall, TopN-Acc","similar to Li et al. [30 ], we evaluate our LineVul with three binary classification measures i.e., Precision, Recall, and F1-score.
",1,0,"{""big-vul"":{""F1"": 91, ""Precision"": 97, ""Recall"": 86}, ""big-vul_line_level"":{""top10-Acc"":65}}",https://github.com/awsm-research/LineVul,1,1,"LineVul is a line-level and function-level C/C++ vulnerability detector. It is motivated by the need for fine-grained detection, even more than IVDetect (subgraph), and that most AVD solutions are trained on project-secific datasets. It is based on BERT's transformer architecture that is capable of capturing long term dependencies within long sequences. Instead of the project specific trainign data, they used CodeBERT pre-trained model to generate vector representations of source code. The vulnerable lines are located using the attention mechanism of BERT. The authors start with the pre-trained CodeBERT, add some linear classification layers at the end, and fine-tune the model on 80% of the big-vul dataset. LineVul reported very impressive results, including 3x F1 score on big-vul dataset, compared to best result so far. (is it because of test data leakage?)",,,,
LLbezpeky: Leveraging large Language Models for vulnerability detection,1,2024,llbezpeky_2025,Ezz,38,22.75449102,arxiv,https://arxiv.org/abs/2401.01269,,source_code,file,line,,,pretrained_token_embedding,,binary,,0,1,general,"crypto, ICC, networking, nonAPI, permission",benchmark,Ghera,,synthetic,Java,0,1,0,0,0,,1,1,static,PretrainedLLM,PretrainedLLM,,0,"Acc, Precision, Recall",,0,0,"{""ghera"":{""Recall"":88.3, ""Precision"":89.8}}",,0,0,"The paper proposes using LLMs to detect vulnerabilities in Android apps in the Ghera datasets. The main component in their approach is prompting, and the used LLM was GPT4. They experimented with (1) basic prompts, (2) providing a summary of the vulnerability, and (3) letting the LLM ask for more code files in a RAG-like manner (but not RAG).",,,,
Machine Learning Methods for Software Vulnerability Detection,1,2018,chernis2018machine,Shae,128,16.68839635,ACM International Workshop on Security and Privacy Analytics,https://dl.acm.org/doi/abs/10.1145/3180445.3180453,10.1145/3180445.3180453,Source_code,function,function,,,manual_features,,binary,,0,0,general,general,subset_existing,NVD,,real-world,C/C++,0,0,0,0,0,,1,0,static,"manual_features, ML_preNN",,,1,"acc, false-negative,false-positive,true-positive,true-negative",,0,1,"{""trivial features"":{""acc"":0.75}, ""n-grams"":{""acc"":0.69}, ""suffix trees"":{""acc"":0.60}}",,0,1,"This paper performs an evaluation of different manual feature representations across a variety of standard ML classifiers. the manual feature types are comprised ""trivial"", n-gram and suffix tree. The ""trivial"" features performed the best out of all the feature types. The papers focus is on the feature extraction process of AVD over that of the actual discovery/detection. ",,,,
Meta-Path Based Attentional Graph Learning Model for Vulnerability Detection,1,2024,wen2023meta_path,Ezz,28,16.76646707,IEEE Transactions on Software Engineering,https://www.computer.org/csdl/journal/ts/2024/03/10376026/1TfBt3jKLtu,10.1109/TSE.2023.3340267,source_code,function,function,datasets?,CPG,"pretrained_token_embedding, node_embedding",,binary,,1,0,general,general,benchmark,"Devign, ReVeal, Big-Vul",,real-world,C/C++,0,1,0,1,0,"Our node classification is based on the AST node type in C/C++. Therefore, we only conduct experiments on the C/C++ dataset and do not choose other programming languages such as Java and python. However, the main idea of MAGNET can be generalized to other programming languages because the approach does not rely on language-specific features. We will evaluate MAGNET on more programming languages in our future work.",1,0,static,GNN,MHAGNN,,1,"Acc, Precision, Recall, F1","We use the following four widely-used evaluation metrics
to measure our model’s performance:",1,0,"{""devign"": {""acc"": 63.3, ""precision"":56.3, ""recall"":80.2, ""f1"":66.1}, ""reveal"": {""acc"":91.6, ""precision"":42.9, ""recall"":61.7, ""f1"":50.6}, ""big-vul"": {""acc"":91.4, ""precision"":22.7, ""recall"":38.9, ""f1"":28.7}}",https://github.com/Xin-Cheng-Wen/MAGNET,1,1,"The paper proposes MAGNET, a GNN based vulnerability detector. MAGNET is comprised of two components: constructing a multi-granularity meta-path graph that captures the heterogenous relations in the graph, and a hierarchical attentional GNN, giving nodes and edges different attention. They use the code structure graph (most likely equivalent to CPG) as the underlying graph for the GNN, and use word2vec for obtaining initial node embeddings. They highlight the failure of most existing approaches to capture long-range dependencies in the graph.",,,,
MFXSS: An effective XSS vulnerability detection method in JavaScript based on multi-feature model,1,2023,liu2023mfxss,Dan,32,11.98501873,Computers & Security,https://dl.acm.org/doi/10.1016/j.cose.2022.103015,10.1016/j.cose.2022.103015,source_code,snippet,snippet,,"AST, CFG","node_embedding, pretrained_token_embedding",word2vec,binary,,0,0,XSS,XSS,"create_own_from_scratch, subset_existing","WhiteRabbitc, Dataset XSS, xssed.com",,real-world,JavaScript,0,0,1,0,0,,1,0,static,"GNN, RNN","GCN, BLSTM",,1,"Acc, Precision, Recall, F1",,0,1,"{""data"": {""Acc"": 0.997, ""Precision"": 0.997, ""Recall"":  0.997, ""F1"":  0.997}}",,0,0,"MFXSS is a graph convolutional network based XSS detection framework. It uses the AST and CFG as input to a graph neural network to get one set of features and, separately, the code itself as input to word2vec to generate embeddings which are fed into a bi-LSTM network to get another set of features. The concatenated feature sets are then used as input for an MLP classifier which predicts if the code is vulnerable to XSS or not.",,,,
Multi-role consensus through LLMs discussions for vulnerability detection,0,2024,,Dan,13,7.784431138,"International Conference on Software Quality, Reliability, and Security Companion",https://doi.org/10.1109/QRS-C63300.2024.00173,10.1109/QRS-C63300.2024.00173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short paper 1.5 pages,,,,
muVulDeePecker: A Deep Learning-Based System for Multiclass Vulnerability Detection,1,2019,muvuldeepecker_2019,Ezz,430,64.46776612,IEEE Transactions on Dependable and Secure Computing,https://ieeexplore.ieee.org/abstract/document/8846081,10.1109/TDSC.2019.2942930,source_code,project,slice/gadget,,PDG,pretrained_token_embedding,Joern,multi-class,,0,0,general,40 types (Table 1),subset_existing,"NVD, SARD, muvuldeepecker",,both,C/C++,0,0,0,0,0,,1,0,static,RNN,BLSTM,,1,"F1, Precision, Recall",,0,0,"{""muvuldeepecker"":{""M_F1"": 94.2, ""W_F1"": 94.7}}",https://github.com/muVulDeePecker/muVulDeePecker,0,1,"MuVulDeePecker is a n extension of VulDeePecker for multi-class vulnerability classification. The code of the proposed detecto is the so-called code attention, which is a subset of statements in a code gadget that match some vulnerability syntax characteristics. They also improved the code gadget generation process by incorporating information from the PDG, including control dependence and not only data dependence.. The authors show that muvuldeepecker outperforms a naively modifier version of VulDeePecker for multi-class clasification.",,,,
MVD: Memory-Related Vulnerability Detection Based on Flow-Sensitive Graph Neural Networks,1,2022,cao2022mvd,Sanyam,151,41.14441417,IEEE/ACM International Conference on Software Engineering,https://dl.acm.org/doi/10.1145/3510003.3510219,10.1145/3510003.3510219,source_code,project,line,"The detection granularity of the existing
DL-based approaches is mostly at the function-level or slice-level. However, developers still need to
spend a deal of time in manually narrowing down the range of suspicious statements (or operations). Achieving fine-grained detection results is non-trivial. ","CFG, DFG","node_embedding, pretrained_token_embedding",,binary,,1,,memory,memory,subset_existing,"SARD, CVE",,real-world,C/C++,0,0,0,1,0,"C/C++ programs due to their frequent
memory problems caused by low-level control of memory",1,0,static,GNN,FS-GNN,,1,"acc, precision, recall, F1",,0,0,"{""null"":{""precision"": 61.5, ""acc"": 74.1, ""recall"":  69.4, ""F1"": 65.2}}",https://github.com/MVDetection/MVD,1,1,,,,,
MVP: Detecting Vulnerabilities using Patch-Enhanced Vulnerability Signatures,0,2020,mvp_2020,Ezz,139,24.51499118,USENIX Security Symposium,https://dl.acm.org/doi/10.5555/3489212.3489278,,source_code,,function,,"CPG, AST",hash,Joern,binary,,,0,general,"divide-by-zero, infinite-loop, integer-overflow, use-of-uninitialized-value, memory-leak, null-pointer-dereference",subset_existing,NVD,,real-world,C/C++,,,,,,,0,0,static,signature,,,,Precision,,,,"{""null"":{""precision"": 83.6, ""recall"":87.4}}",,0,0,,,,,
NodeXP: NOde.js server-side JavaScript injection vulnerability DEtection and eXPloitation,0,2021,ntantogian2021nodexp,Dan,29,6.209850107,Journal of Information Security and Applications,https://www.sciencedirect.com/science/article/pii/S221421262100003X,10.1016/j.jisa.2021.102752,network requests+responses,,executable,,,NA,Metasploit,exploit,,,1,server-side JavaScript Injections,server-side JavaScript Injections,"benchmark, create_own_from_scratch","Nodegoat, Express TestBench, XVNA, node.nV, Appsecco",,both,JavaScript,,,,,,,0,0,dynamic,algorithm,,,,num_detected,,,,"{""null"":{}}",,1,1,"NodeXP detects and exploits code injection vulnerabilities in Node server software. It uses heuristics to determine if a vulnerabilities are present by trying to detect whether code in requests is evaluated using a set of attack vectors. It tries to avoid detection through the use of  obfuscation. Once an attack vector has been confirmed, it tries to open a shell on the server.",,,,
Path sensitive static analysis of web applications for remote code execution vulnerability detection,0,2013,zheng2013path,Dan,128,10.10260458,IEEE/ACM International Conference on Software Engineering,https://www.cs.purdue.edu/homes/xyzhang/Comp/icse13_zheng.pdf,10.1109/ICSE.2013.6606611,source_code,,repo/project,,,NA,,exploit,,,1,RCE,RCE,create_own_from_scratch,"aidiCMS,phpMyFAQ,zingiri,phpMyAdmin,phpLDAPadmin,phpScheduleIt,FreeWebshop,ignition,monalbum",,real-world,PHP,,,,,,,0,0,static,"taint_analysis, symbolic_execution",,,,"num_detected, FP",,,,"{""null"":{}}",,0,1,taint analysis on strings + combined constraint solving on strings and non-string to get execution paths which lead to remote code execution,,,,
Path-sensitive code embedding via contrastive learning for software vulnerability detection,1,2022,cheng2022path_contrastive,Shae,108,29.42779292,International Symposium on Software Testing and Analysis,https://dl.acm.org/doi/10.1145/3533767.3534371,10.1145/3533767.3534371,source_code,function,function,,,learnable_path_embedding,"SVF (Static Analyzer), Z3 SMT solver",binary,,1,0,general,general,benchmark,"D2A, Big-Vul, Devign",,real-world,C/C++,0,0,0,0,0,,1,0,static,"Contrastive Learning, Transformer, ",,,1,"Informedness, Markedness, F1, Precision, Recall","Due to different detection granularities,
we perform a fair cross-comparison between ContraFlow and the above approaches under their metrics, aiming to show that ContraFlow still performs better than current approaches under the following existing metrics
",1,1,"{""VGDetector"":{""F1"":56.7, ""Precision"":52.6, ""Recall"":61.4}, ""Devign"":{""F1"":58.7, ""Precision"":54.6, ""Recall"":63.4}, ""Reveal"":{""F1"":63.4, ""Precision"":61.5, ""Recall"":65.5}, ""ContraFlow-method"":{""F1"":75.3, ""Precision"":71.5, ""Recall"":79.4}, ""VulDeePecker"":{""F1"":52.3, ""Precision"":052.2, ""Recall"":52.4}, ""SySeVR"":{""F1"":55.0, ""Precision"":54.5, ""Recall"":55.4}, ""DeepWukong"":{""F1"":67.0, ""Precision"":67.4, ""Recall"":66.5}, ""VulDeeLocator"":{""F1"":62.0, ""Precision"":61.4, ""Recall"":62.5}, ""IVDetect"":{""F1"":64.1, ""Precision"":64.0, ""Recall"":64.6}, ""ContraFlow-slice"":{""F1"":82.8, ""Precision"":79.5, ""Recall"":86.4}}",,0,1,"This paper proposes ContraFlow, a contranstive value-flow embedding approach for static detection of software vulnerabilities. 1) The approach first trains a value-flow embedding model (Value-flow Path Encoder VPE) from value-flow paths extracted using SVF from the source code. Then the Noise Contrastive Estimate (NCE) loss function is used to maximize the agreement between semantically similar value-flows. 2) The VPE is then used to generate feature vectors of feasible and representative value-flow paths. The embedded paths are then samples via self-supervised active learning to capture the most representative paths. They formulate path-sensitive code embedding as a reachability problem over a guarded sparse value flow graph. 3) The detection model is then trained with the selected paths and the label, a transformer is used to produce a contextual vector for each path before being used in model training.",,,,
POSTER: Vulnerability Discovery with Function Representation Learning from Unlabeled Projects,0,2017,lin2017poster,Shae,187,21.56862745,Conference on Computer and Communications Security,https://dl.acm.org/doi/10.1145/3133956.3138840,10.1145/3133956.3138840,,,function,,AST,node_embedding,"CodeSenor, Undertsatn",binary,,,0,general,general,subset_existing,"LibTIFF, LibPNG, FFmpeg, NVD, CVE",,both,any (C),,,,,,,1,0,static,RNN,LSTM,,,Top-K_Recall,,,,"{""null"":{""Top-10"":0.07, ""Top-50"":0.26, ""Top-100"":0.28, ""Top-150"":0.30, ""Top-200"":0.47}}",https://github.com/DanielLin1986/function_representation_learning,1,1,This approach focuses on input representations for AVD and not actual AVD. The core aspect of the approach is feeding the function-level ASTs of a application into a stacked LSTM network using a proxy for data levels to produce high-level representations of the ASTs incapsulating both long and short term dependencies. This representation is then used with a random forest to produce the top-k recall results. The proxy used is a metric of the complexity of the function.,,,,
ProFuzzer: On-the-fly Input Type Probing for Better Zero-Day Vulnerability Discovery,0,2019,you2019profuzzer,Dan,169,25.33733133,IEEE Symposium on Security and Privacy,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8835384,10.1109/SP.2019.00057,binary_executable,,executable,,,NA,AFL,exploit,,,0,memory,memory,"benchmark, create_own_from_scratch","LAVA-M dataset,  Google fuzzer testsuite, 10 real-world programmes (exiv2 , graphicsmagick, libtiff, openjpeg, libav, libming, PDF, mupdf, podofo, lrzip, zziplib)",,both,any (binary),,,,,,,0,0,dynamic,fuzzing,,,,"num_detected, time",,,,"{""null"":{}}",,0,0,ProFuzzer is a fuzzing tool with two stages: (1) it mutates the seed input one byte at a time to see which bytes affect the code execution path to identify important bytes in the input (2) uses the information gathered in the  first stage to guide input mutation during execution of fuzz testing.,,,,
Project Achilles: A Prototype Tool for Static Method-Level Vulnerability Detection of Java Source Code Using a Recurrent Neural Network,1,2019,saccente2019project_achilles,Ezz,63,9.445277361,IEEE/ACM International Conference on Automated Software Engineering Workshop,https://ieeexplore.ieee.org/document/8967427,10.1109/ASEW.2019.00040,source_code,function,function,,,learnable_token_embedding,javalang,multi-class,,0,0,general,29 CWEs,subset_existing,juliet,"a balanced dataset can be collected using Project Achilles including both true and false vulnerability data
The Juliet Test Suite contains 81,000 synthetic C/C++ and Java programs with known security vulnerabilities and has been made public by NIST for testing the effectiveness of static analysis tools. Each program test case contains vulnerable source code for a specific security flaw as well as similar, but unflawed source code to test static analysis tool discrimination.
",synthetic,Java,0,1,0,0,0,,1,0,static,RNN,LSTM,,1,Acc,,0,1,"{""juliet"":{""acc"":92.3}}",https://gitlab.com/TUSoftwareEngineering/vulnerabilitylocalization-using-machine-learning,1,NA,"The paper presents an early prototype for using ML (i.e., RNNs) for vulnerability discovery in java methods from the Juliet test suite. The java methods were tokenized using the javalang tokenizer. Next a seprate LSTM classifier was trained for each CWE. A target method is then fed to all 29 LSTMs and the output is fed to the softmax function.",,,,
